output_var_name,change_in_multiplier,strategy_code,cost_factor,cost_factor_function,strategy,comparison_code,difference_variable,output_variable_name,multiplier,annual change,sum,diff_var
cb:agrc:crop_value:crops_produced:pulses,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_pulses_tonne,cb:agrc:crop_value:crops_produced:pulses,1070,1,0,yield_agrc_pulses_tonne
cb:agrc:crop_value:crops_produced:rice,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_rice_tonne,cb:agrc:crop_value:crops_produced:rice,300,1,0,yield_agrc_rice_tonne
cb:agrc:crop_value:crops_produced:sugar_cane,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_sugar_cane_tonne,cb:agrc:crop_value:crops_produced:sugar_cane,30,1,0,yield_agrc_sugar_cane_tonne
cb:agrc:crop_value:crops_produced:tubers,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_tubers_tonne,cb:agrc:crop_value:crops_produced:tubers,650,1,0,yield_agrc_tubers_tonne
cb:agrc:crop_value:crops_produced:vegetables,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_vegetables_and_vines_tonne,cb:agrc:crop_value:crops_produced:vegetables,870,1,0,yield_agrc_vegetables_and_vines_tonne
cb:lndu:ecosystem_services:forests:primary,1,PFLO:CONSTRAINED,afolu_ecosystem_services_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,area_lndu_forests_primary,cb:lndu:ecosystem_services:forests:primary,500,1,0,area_lndu_forests_primary
cb:lndu:ecosystem_services:forests:secondary,1,PFLO:CONSTRAINED,afolu_ecosystem_services_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,area_lndu_forests_secondary,cb:lndu:ecosystem_services:forests:secondary,300,1,0,area_lndu_forests_secondary
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_natural_gas
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_nuclear
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_coal
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_hydrogen
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_hydrogen
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_biomass
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_kerosene
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_kerosene
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_coal
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_hydrogen
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_coke
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_ccsq_fuel_hydrogen
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_ammonia
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_waste
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_hydrocarbon_gas_liquids
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_biogas
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_coke
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_biofuels
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrocarbon_gas_liquids
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_natural_gas
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_other
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_gasoline
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_natural_gas
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_kerosene
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_diesel
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_oil
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_diesel
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_diesel
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_coal
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_gasoline
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_oil
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_gasoline
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrogen
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_hydrocarbon_gas_liquids
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_inen_fuel_gasoline
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_biomass
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_biofuels
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_scoe_fuel_biomass
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_ccsq_fuel_natural_gas
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_hydrocarbon_gas_liquids
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_kerosene
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_entc_fuel_natural_gas
cb:enfu:fuel_cost:X:X,1,PFLO:CONSTRAINED,enfu_fuel_cost_factors,cb_system_fuel_costs,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_*_fuel_*,cb:enfu:fuel_cost:X:X,-500000,1,0,totalvalue_enfu_fuel_consumed_trns_fuel_diesel
cb:ccsq:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_ccsq_*,cb:ccsq:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_ccsq_fuel_hydrogen
cb:ccsq:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_ccsq_*,cb:ccsq:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_ccsq_fuel_natural_gas
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_natural_gas
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_coal
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_biomass
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_kerosene
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_hydrogen
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_hydrocarbon_gas_liquids
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_coke
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_oil
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_diesel
cb:inen:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_inen_*,cb:inen:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_inen_fuel_gasoline
cb:scoe:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_scoe_*,cb:scoe:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_scoe_fuel_kerosene
cb:scoe:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_scoe_*,cb:scoe:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_scoe_fuel_coal
cb:scoe:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_scoe_*,cb:scoe:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrocarbon_gas_liquids
cb:scoe:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_scoe_*,cb:scoe:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_scoe_fuel_natural_gas
cb:scoe:sector_specific:fuel_cost:X,1,PFLO:CONSTRAINED,enfu_sector_fuel_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,totalvalue_enfu_fuel_consumed_scoe_*,cb:scoe:sector_specific:fuel_cost:X,-500000,1,1,totalvalue_enfu_fuel_consumed_scoe_fuel_diesel
